Nº Processo,Natureza do Processo,Forma de Cadastramento,Crédito
33704,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
13889,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
35539,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
14272,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
2857,DIGITAL,Manual,Restituição de PGIM Empregador Doméstico
21397,ELETRÔNICO,Automático,Restituição de Simples Nacional
38489,DIGITAL,Manual,Restituição de PGIM Empregador Doméstico
4659,ELETRÔNICO,Automático,Restituição de Simples Nacional
31165,ELETRÔNICO,Automático,Restituição de Simples Nacional
18199,ELETRÔNICO,Automático,Restituição de Simples Nacional
16772,ELETRÔNICO,Automático,Restituição de Simples Nacional
38024,ELETRÔNICO,Automático,Restituição de Simples Nacional
24962,ELETRÔNICO,Automático,Restituição de Simples Nacional
12333,ELETRÔNICO,Automático,Restituição de Simples Nacional
19170,DIGITAL,Manual,Restituição de PGIM Empregador Doméstico
39579,DIGITAL,Manual,Restituição de Contribuição Previdenciária Indevida ou a Maior
47921,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente
44561,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente
2203,DIGITAL,Manual,Restituição de Simples Nacional
20117,DIGITAL,Manual,Restituição de Contribuição Previdenciária Indevida ou a Maior
7884,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente
1316,DIGITAL,Manual,Restituição de Contribuição Previdenciária Indevida ou a Maior
33784,DIGITAL,Manual,Restituição de Pagamento Indevido ou a Maior
15744,DIGITAL,Manual,Restituição de PGIM Empregador Doméstico
48048,DIGITAL,Manual,Restituição de Contribuição Previdenciária Indevida ou a Maior
23951,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente
43474,DIGITAL,Manual,REDEA - Restituição Apurada DIRPF Não Processada Eletronicamente
21563,DIGITAL,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
6553,DIGITAL,Manual,Restituição de Pagamento Indevido ou a Maior
20362,DIGITAL,Automático,Restituição de Pagamento Indevido ou a Maior
8961,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
46829,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
26772,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
16623,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
3593,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
13491,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
10170,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
7115,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
47786,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
18663,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
40385,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
28638,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
40491,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
48170,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
40335,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
11110,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
23602,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
43337,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
40116,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
16452,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
17542,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
3279,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
